59988	60525
59913	60525
59895	60525
59857	60525
59753	60525
59731	60525
59731	60525
59725	60525
59719	60525
59717	60525
59717	60525
59717	60525
59715	60525
59715	60525
59714	60525
59714	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59712	60525
59704	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59659	60525
59655	60525
59653	60525
59653	60525
59653	60525
59653	60525
59653	60525
59653	60525
59653	60525
59646	60525
59646	60525
59646	60525
59646	60525
